,LBRT,LBRT,LBRT,LBRT,LBRT,LBRT,LBRT,ROIV,ROIV,ROIV,ROIV,ROIV,ROIV,ROIV,FHI,FHI,FHI,FHI,FHI,FHI,FHI,DINO,DINO,DINO,DINO,DINO,DINO,DINO
Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31 00:00:00-04:00,9.021793134,9.041070912,8.5591375,8.877213478,1426200,0,0,0,0,0,0,0,0,0,24.94229813,25.25012981,24.80022151,25.21066475,516400,0,0,50.48281274,50.48281274,46.33092376,47.72067642,2772100,0,0
2019-11-01 00:00:00-04:00,9.041071863,9.590475716,8.963962583,9.455534935,835700,0,0,0,0,0,0,0,0,0,25.40798689,25.74739175,25.26591029,25.67635345,442500,0,0,47.90308813,48.82379811,47.03449182,47.19952393,2566800,0,0
2019-11-04 00:00:00-05:00,9.629030681,9.841081669,9.484451005,9.754333496,1488700,0,0,0,0,0,0,0,0,0,25.89736915,26.4972459,25.81843601,26.45778084,755800,0,0,47.84227912,48.44160929,47.06054123,47.18214417,1860600,0,0
2019-11-05 00:00:00-05:00,9.590476168,9.725417875,8.915769473,8.925408363,3426600,0,0,0,0,0,0,0,0,0,26.59195609,26.86821747,26.52091779,26.86821747,849700,0,0,47.66856051,48.58927036,47.40798231,48.54584122,2719400,0,0
2019-11-06 00:00:00-05:00,8.925407915,9.190470951,8.607331904,8.963962555,2028500,0,0,0,0,0,0,0,0,0,26.90768617,26.90768617,26.53670802,26.63142776,413200,0,0,48.26789691,48.30264156,46.26143824,46.40041351,1882700,0,0
2019-11-07 00:00:00-05:00,9.156736214,9.426618708,8.549499913,8.761550903,1368100,0,0,0,0,0,0,0,0,0,26.81443413,27.01335426,26.71099482,26.8223896,370500,0.27,0,46.88682394,47.58170025,46.75653649,47.54695892,1987500,0,0
2019-11-08 00:00:00-05:00,8.616970151,8.751911855,8.453113615,8.694080353,533600,0,0,0,0,0,0,0,0,0,26.83034634,27.10087782,26.62346772,27.00539398,462300,0,0,47.2776925,47.41666776,46.23537637,47.0257988,1140400,0,0
2019-11-11 00:00:00-05:00,8.520583434,8.800104795,8.482992133,8.742272377,518500,0,0,0,0,0,0,0,0,0,26.83034797,27.06905151,26.63938331,26.77465057,478900,0,0,46.62625135,47.52090451,46.53070522,47.01712036,803300,0,0
2019-11-12 00:00:00-05:00,8.771190303,8.935047771,8.578416163,8.636248589,528400,0,0,0,0,0,0,0,0,0,26.80647465,26.91787247,26.59959905,26.73486328,433400,0,0,47.36454797,47.78147373,46.24406143,46.41777802,1591200,0,0
2019-11-13 00:00:00-05:00,8.549499232,8.549499232,8.318171398,8.327810287,480300,0,0,0,0,0,0,0,0,0,26.53594413,27.04518221,26.42454934,26.8223896,380300,0,0,46.02692137,46.2093258,45.5231339,45.67948151,1137200,0,0
2019-11-14 00:00:00-05:00,8.308534167,8.453114781,8.279618412,8.347088814,726000,0,0,0,0,0,0,0,0,0,26.68712247,26.87808408,26.60755261,26.7666893,304500,0,0,46.05298289,46.82603318,45.80108913,46.79997635,1739800,0,0
2019-11-15 00:00:00-05:00,8.414559216,8.520585183,8.298895276,8.347088814,851600,0,0,0,0,0,0,0,0,0,26.89400068,26.89400068,26.45637701,26.48820496,349900,0,0,46.84339561,46.84339561,45.37546915,45.63604736,1701900,0,0
2019-11-18 00:00:00-05:00,8.327810861,8.327810861,7.903708885,7.990457058,977600,0,0,0,0,0,0,0,0,0,26.44046313,26.67916668,26.36089629,26.59959984,429400,0,0,46.32223901,47.4079843,45.80976709,46.8260231,1979200,0,0
2019-11-19 00:00:00-05:00,7.903709338,7.941300644,7.653104153,7.788045406,905600,0,0,0,0,0,0,0,0,0,26.71895042,26.94969544,26.64733906,26.7666893,225200,0,0,46.58281244,46.67835855,44.63715561,45.42757797,1884100,0,0
2019-11-20 00:00:00-05:00,7.778405936,7.956721725,7.604910051,7.797683716,870000,0,0,0,0,0,0,0,0,0,26.59959506,26.80647062,26.46432782,26.61550903,424400,0,0,45.27123363,45.99217008,44.65453112,45.47969818,2089100,0,0
2019-11-21 00:00:00-05:00,7.845876636,8.14467485,7.739850692,8.096481323,843700,0,0,0,0,0,0,0,0,0,26.68712312,26.69507859,26.24154097,26.28132439,403700,0,0,45.60130775,46.57413472,45.57525092,46.3309288,1521100,0,0
2019-11-22 00:00:00-05:00,8.144675654,8.356726644,8.106121013,8.192869186,448000,0,0,0,0,0,0,0,0,0,26.30520539,26.38477225,26.08241273,26.25746346,317300,0,0,46.46989547,46.79127513,45.94005127,46.00954056,1257900,0,0
2019-11-25 00:00:00-05:00,8.163953155,8.510944919,8.163953155,8.462751389,483900,0,0,0,0,0,0,0,0,0,26.209717,26.87013333,26.209717,26.84626389,339000,0,0,46.01823514,46.79128538,45.85320302,46.33961487,1763300,0,0
2019-11-26 00:00:00-05:00,8.443474576,8.520583857,8.289256013,8.376003265,719600,0,0,0,0,0,0,0,0,0,26.70303436,26.89399595,26.44841688,26.61550903,483900,0,0,46.43579194,46.58442684,45.50025658,46.03359985,2503500,0.35,0
2019-11-27 00:00:00-05:00,8.395281107,8.626608952,8.298894045,8.616970062,389900,0,0,0,0,0,0,0,0,0,26.75873669,27.02926819,26.64734191,26.88604546,365200,0,0,46.17348468,46.23468767,45.37784252,45.72757339,1205500,0,0
2019-11-29 00:00:00-05:00,8.491668355,8.559138748,8.298894227,8.520584106,211500,0,0,0,0,0,0,0,0,0,26.83034987,27.05313946,26.6473437,26.67121315,161300,0,0,45.38658708,45.48276416,44.97564985,45.07182693,549800,0,0
2019-12-02 00:00:00-05:00,8.597692636,8.790465828,8.433835193,8.50130558,438500,0,0,0,0,0,0,0,0,0,26.77465232,26.82239121,26.34498409,26.41659546,462500,0,0,45.2816735,46.18223476,45.13303526,46.09480286,2299400,0,0
2019-12-03 00:00:00-05:00,8.356726698,8.453113762,8.163953488,8.269978523,514900,0,0,0,0,0,0,0,0,0,26.21767037,26.25745378,25.85961357,26.04261971,299000,0,0,45.70134872,45.80626766,45.07182841,45.34287262,1549300,0,0
